goos: darwin
goarch: amd64
pkg: v.io/v23/vom/internal
BenchmarkVom___Decode_____VStructWithNative-16              	13190637	       916 ns/op	     800 B/op	       9 allocs/op
BenchmarkVom___DecodeMany_VStructWithNative-16              	32811231	       371 ns/op	      32 B/op	       1 allocs/op
BenchmarkVom___Encode_____XStructWithOptional-16            	 2572005	      4650 ns/op	    3937 B/op	      25 allocs/op
BenchmarkVom___EncodeMany_XStructWithOptional-16            	12226192	       984 ns/op	      32 B/op	       1 allocs/op
BenchmarkVom___EncodeOptional_____XStructWithOptional-16    	 1471477	      8179 ns/op	    5401 B/op	      46 allocs/op
BenchmarkVom___EncodeManyOptional_XStructWithOptional-16    	 3115699	      3812 ns/op	    1464 B/op	      21 allocs/op
BenchmarkVom___Decode_____XStructWithOptional-16            	 7523265	      1595 ns/op	     849 B/op	      13 allocs/op
BenchmarkVom___DecodeMany_XStructWithOptional-16            	11987864	       998 ns/op	      97 B/op	       5 allocs/op
BenchmarkVom___Encode_____XStructWithNative-16              	 1443414	      8304 ns/op	    4097 B/op	      40 allocs/op
BenchmarkVom___EncodeMany_XStructWithNative-16              	 2745952	      4412 ns/op	     416 B/op	      16 allocs/op
BenchmarkVom___EncodeOptional_____XStructWithNative-16      	  955884	     12374 ns/op	    6008 B/op	      69 allocs/op
BenchmarkVom___EncodeManyOptional_XStructWithNative-16      	 1644465	      7301 ns/op	    1912 B/op	      43 allocs/op
BenchmarkVom___Decode_____XStructWithNative-16              	 5535856	      2157 ns/op	    1024 B/op	      16 allocs/op
BenchmarkVom___DecodeMany_XStructWithNative-16              	 7898710	      1525 ns/op	     256 B/op	       8 allocs/op
BenchmarkVom___Encode_____Time-16                           	 3497377	      3424 ns/op	    3329 B/op	      22 allocs/op
BenchmarkVom___EncodeMany_Time-16                           	 9648667	      1236 ns/op	     112 B/op	       4 allocs/op
BenchmarkVom___EncodeOptional_____Time-16                   	 2169127	      5530 ns/op	    3816 B/op	      34 allocs/op
BenchmarkVom___EncodeManyOptional_Time-16                   	 4472494	      2680 ns/op	     568 B/op	      15 allocs/op
BenchmarkVom___Decode_____Time-16                           	10791871	      1092 ns/op	     688 B/op	      11 allocs/op
BenchmarkVom___DecodeMany_Time-16                           	17257363	       695 ns/op	     128 B/op	       4 allocs/op
BenchmarkVom___Encode_____Blessings-16                      	  867793	     13958 ns/op	   10504 B/op	      47 allocs/op
BenchmarkVom___EncodeMany_Blessings-16                      	 5474727	      2188 ns/op	     304 B/op	       6 allocs/op
BenchmarkVom___EncodeOptional_____Blessings-16              	  473896	     25754 ns/op	   16568 B/op	     103 allocs/op
BenchmarkVom___EncodeManyOptional_Blessings-16              	 1000000	     11520 ns/op	    6132 B/op	      59 allocs/op
BenchmarkVom___Decode_____Blessings-16                      	  472772	     25349 ns/op	   10207 B/op	     167 allocs/op
BenchmarkVom___DecodeMany_Blessings-16                      	  498759	     24187 ns/op	    8638 B/op	     157 allocs/op
BenchmarkVom___Encode_____RPCRequestZero-16                 	  683770	     17119 ns/op	    7870 B/op	      50 allocs/op
BenchmarkVom___EncodeMany_RPCRequestZero-16                 	100000000	       107 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____RPCRequestZero-16         	  293173	     41500 ns/op	   23046 B/op	     153 allocs/op
BenchmarkVom___EncodeManyOptional_RPCRequestZero-16         	  654234	     18564 ns/op	   14385 B/op	      98 allocs/op
BenchmarkVom___Decode_____RPCRequestZero-16                 	11797390	      1026 ns/op	    1440 B/op	       8 allocs/op
BenchmarkVom___DecodeMany_RPCRequestZero-16                 	41122128	       296 ns/op	     224 B/op	       1 allocs/op
BenchmarkVom___Encode_____RPCRequestFull-16                 	  578702	     21184 ns/op	   13806 B/op	      58 allocs/op
BenchmarkVom___EncodeMany_RPCRequestFull-16                 	 6150436	      1983 ns/op	     144 B/op	       3 allocs/op
BenchmarkVom___EncodeOptional_____RPCRequestFull-16         	  260760	     45855 ns/op	   28982 B/op	     161 allocs/op
BenchmarkVom___EncodeManyOptional_RPCRequestFull-16         	  569085	     20850 ns/op	   14529 B/op	     101 allocs/op
BenchmarkVom___Decode_____RPCRequestFull-16                 	  470472	     26509 ns/op	   10624 B/op	     169 allocs/op
BenchmarkVom___DecodeMany_RPCRequestFull-16                 	  481288	     25291 ns/op	    8734 B/op	     159 allocs/op
BenchmarkVom___Encode_____RPCResponseZero-16                	  654272	     18624 ns/op	    9642 B/op	      56 allocs/op
BenchmarkVom___EncodeMany_RPCResponseZero-16                	43077735	       274 ns/op	     320 B/op	       4 allocs/op
BenchmarkVom___EncodeOptional_____RPCResponseZero-16        	  302301	     41010 ns/op	   23529 B/op	     144 allocs/op
BenchmarkVom___EncodeManyOptional_RPCResponseZero-16        	  670549	     17352 ns/op	   13592 B/op	      88 allocs/op
BenchmarkVom___Decode_____RPCResponseZero-16                	12120016	       978 ns/op	    1312 B/op	       8 allocs/op
BenchmarkVom___DecodeMany_RPCResponseZero-16                	47388162	       248 ns/op	      96 B/op	       1 allocs/op
