Benchmark	Original ns/op	Current ns/op	Original allocs/op	Current allocs/op	ns/op delta	allocs/op delta	ns % delta	allocs % delta
BenchmarkVom___Encode_____XStringLarge-16                   	22312	22226	17	12	-86	-5	100%	142%
BenchmarkVom___EncodeMany_XStringLarge-16                   	2744	2711	0	0	-33	0	101%	100%
BenchmarkVom___EncodeOptional_____XStringLarge-16           	22444	22395	18	13	-49	-5	100%	138%
BenchmarkVom___EncodeManyOptional_XStringLarge-16           	2923	2871	1	1	-52	0	102%	100%
BenchmarkVom___Decode_____XStringLarge-16                   	9752	10815	8	2	1063	-6	90%	400%
BenchmarkVom___DecodeMany_XStringLarge-16                   	9601	10923	2	2	1322	0	88%	100%
BenchmarkVom___Encode_____VStringLarge-16                   	23350	22604	17	12	-746	-5	103%	142%
BenchmarkVom___EncodeMany_VStringLarge-16                   	2681	2601	0	0	-80	0	103%	100%
BenchmarkVom___EncodeOptional_____VStringLarge-16           	22766	23296	17	12	530	-5	98%	142%
BenchmarkVom___EncodeManyOptional_VStringLarge-16           	2674	2811	0	0	137	0	95%	100%
BenchmarkVom___Decode_____VStringLarge-16                   	9320	9362	8	2	42	-6	100%	400%
BenchmarkVom___DecodeMany_VStringLarge-16                   	9044	9272	2	2	228	0	98%	100%
BenchmarkVom___Encode_____VEnum-16                          	1704	1441	17	12	-263	-5	118%	142%
BenchmarkVom___EncodeMany_VEnum-16                          	84.3	68.2	0	0	-16.1	0	124%	100%
BenchmarkVom___EncodeOptional_____VEnum-16                  	1772	1652	17	12	-120	-5	107%	142%
BenchmarkVom___EncodeManyOptional_VEnum-16                  	147	134	0	0	-13	0	110%	100%
BenchmarkVom___Decode_____VEnum-16                          	473	199	7	1	-274	-6	238%	700%
BenchmarkVom___DecodeMany_VEnum-16                          	162	137	1	1	-25	0	118%	100%
BenchmarkVom___Encode_____XByteListSmall-16                 	1614	1397	15	10	-217	-5	116%	150%
BenchmarkVom___EncodeMany_XByteListSmall-16                 	222	222	0	0	0	0	100%	100%
BenchmarkVom___EncodeOptional_____XByteListSmall-16         	1652	1440	16	11	-212	-5	115%	145%
BenchmarkVom___EncodeManyOptional_XByteListSmall-16         	275	277	1	1	2	0	99%	100%
BenchmarkVom___Decode_____XByteListSmall-16                 	667	417	9	3	-250	-6	160%	300%
BenchmarkVom___DecodeMany_XByteListSmall-16                 	362	363	3	3	1	0	100%	100%
