goos: darwin
goarch: amd64
pkg: v.io/v23/vom/internal
BenchmarkVom___EncodeOptional_____VStructWithNative-16      	 2590489	      4728 ns/op	    3075 B/op	      20 allocs/op
BenchmarkVom___EncodeManyOptional_VStructWithNative-16      	27400630	       418 ns/op	      32 B/op	       1 allocs/op
BenchmarkVom___Decode_____VStructWithNative-16              	24565460	       470 ns/op	      32 B/op	       1 allocs/op
BenchmarkVom___DecodeMany_VStructWithNative-16              	32685588	       398 ns/op	      32 B/op	       1 allocs/op
BenchmarkVom___Encode_____XStructWithOptional-16            	 2617887	      4503 ns/op	    2882 B/op	      18 allocs/op
BenchmarkVom___EncodeMany_XStructWithOptional-16            	14072245	       880 ns/op	      32 B/op	       1 allocs/op
BenchmarkVom___EncodeOptional_____XStructWithOptional-16    	 2281173	      5165 ns/op	    2930 B/op	      20 allocs/op
BenchmarkVom___EncodeManyOptional_XStructWithOptional-16    	12137538	      1063 ns/op	      48 B/op	       2 allocs/op
BenchmarkVom___Decode_____XStructWithOptional-16            	10124498	      1094 ns/op	      97 B/op	       5 allocs/op
BenchmarkVom___DecodeMany_XStructWithOptional-16            	12260782	      1069 ns/op	      97 B/op	       5 allocs/op
BenchmarkVom___Encode_____XStructWithNative-16              	 2084488	      5751 ns/op	    2850 B/op	      27 allocs/op
BenchmarkVom___EncodeMany_XStructWithNative-16              	 5906937	      1916 ns/op	     224 B/op	      10 allocs/op
BenchmarkVom___EncodeOptional_____XStructWithNative-16      	 1819615	      6673 ns/op	    3450 B/op	      36 allocs/op
BenchmarkVom___EncodeManyOptional_XStructWithNative-16      	 5244523	      2301 ns/op	     400 B/op	      17 allocs/op
BenchmarkVom___Decode_____XStructWithNative-16              	 7591954	      1530 ns/op	     192 B/op	       7 allocs/op
BenchmarkVom___DecodeMany_XStructWithNative-16              	 8864412	      1359 ns/op	     192 B/op	       7 allocs/op
BenchmarkVom___Encode_____Time-16                           	 5246317	      2340 ns/op	    2290 B/op	      14 allocs/op
BenchmarkVom___EncodeMany_Time-16                           	29933887	       414 ns/op	      32 B/op	       2 allocs/op
BenchmarkVom___EncodeOptional_____Time-16                   	 4300557	      3036 ns/op	    2386 B/op	      17 allocs/op
BenchmarkVom___EncodeManyOptional_Time-16                   	21753535	       549 ns/op	      96 B/op	       4 allocs/op
BenchmarkVom___Decode_____Time-16                           	18543381	       636 ns/op	      64 B/op	       3 allocs/op
BenchmarkVom___DecodeMany_Time-16                           	21454783	       520 ns/op	      64 B/op	       3 allocs/op
BenchmarkVom___Encode_____Blessings-16                      	  759658	     15858 ns/op	    9454 B/op	      40 allocs/op
BenchmarkVom___EncodeMany_Blessings-16                      	 5351286	      2131 ns/op	     304 B/op	       6 allocs/op
BenchmarkVom___EncodeOptional_____Blessings-16              	  662097	     16940 ns/op	   10299 B/op	      44 allocs/op
BenchmarkVom___EncodeManyOptional_Blessings-16              	 4890066	      2564 ns/op	     912 B/op	       8 allocs/op
BenchmarkVom___Decode_____Blessings-16                      	  383589	     29227 ns/op	    9220 B/op	     159 allocs/op
BenchmarkVom___DecodeMany_Blessings-16                      	  447626	     29373 ns/op	    8638 B/op	     157 allocs/op
BenchmarkVom___Encode_____RPCRequestZero-16                 	  621622	     18401 ns/op	    6915 B/op	      44 allocs/op
BenchmarkVom___EncodeMany_RPCRequestZero-16                 	100000000	       108 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____RPCRequestZero-16         	  519856	     23215 ns/op	    8700 B/op	      50 allocs/op
BenchmarkVom___EncodeManyOptional_RPCRequestZero-16         	21637024	       604 ns/op	     992 B/op	       2 allocs/op
BenchmarkVom___Decode_____RPCRequestZero-16                 	20588358	       592 ns/op	     224 B/op	       1 allocs/op
BenchmarkVom___DecodeMany_RPCRequestZero-16                 	43935465	       268 ns/op	     224 B/op	       1 allocs/op
BenchmarkVom___Encode_____RPCRequestFull-16                 	  510231	     22858 ns/op	   12759 B/op	      51 allocs/op
BenchmarkVom___EncodeMany_RPCRequestFull-16                 	 5559706	      2043 ns/op	     144 B/op	       3 allocs/op
BenchmarkVom___EncodeOptional_____RPCRequestFull-16         	  446446	     27379 ns/op	   14544 B/op	      57 allocs/op
BenchmarkVom___EncodeManyOptional_RPCRequestFull-16         	 4559248	      2640 ns/op	    1136 B/op	       5 allocs/op
BenchmarkVom___Decode_____RPCRequestFull-16                 	  416232	     28808 ns/op	    9317 B/op	     161 allocs/op
BenchmarkVom___DecodeMany_RPCRequestFull-16                 	  441433	     27948 ns/op	    8734 B/op	     159 allocs/op
BenchmarkVom___Encode_____RPCResponseZero-16                	  660410	     19418 ns/op	    8783 B/op	      48 allocs/op
BenchmarkVom___EncodeMany_RPCResponseZero-16                	38558776	       284 ns/op	     320 B/op	       3 allocs/op
BenchmarkVom___EncodeOptional_____RPCResponseZero-16        	  540810	     22567 ns/op	   10200 B/op	      53 allocs/op
BenchmarkVom___EncodeManyOptional_RPCResponseZero-16        	15947587	       744 ns/op	    1120 B/op	       5 allocs/op
BenchmarkVom___Decode_____RPCResponseZero-16                	21248257	       558 ns/op	      96 B/op	       1 allocs/op
BenchmarkVom___DecodeMany_RPCResponseZero-16                	49310770	       251 ns/op	      96 B/op	       1 allocs/op
BenchmarkVom___Encode_____RPCResponseFull-16                	  462859	     25475 ns/op	   10817 B/op	      77 allocs/op
